# Sudoku puzzle

# from https:#www.kennyyipcoding.com/Sudoku/sudoku.js
- - 7  4 9 1  6 - 5
2 - -  - 6 -  3 - 9
- - -  - - 7  - 1 -
- 5 8  6 - -  - - 4
- - 3  - - -  - 9 -
- - 6  2 - -  1 8 7
9 - 4  - 7 -  - - 2
6 7 -  8 3 -  - - -
8 1 -  - 4 5  - - -


# from https:#abcnews.go.com/blogs/headlines/2012/06/can-you-solve-the-hardest-ever-sudoku
#8 - -  - - -  - - -
#- - 3  6 - -  - - -
#- 7 -  - 9 -  2 - -
#
#- 5 -  - - 7  - - -
#- - -  - 4 5  7 - -
#- - -  1 - -  - 3 -
#
#- - 1  - - -  - 6 8
#- - 8  5 - -  - 1 -
#- 9 -  - - -  4 - -

# Made this one to test elimination per neighborhood first row second col must be a two
#1 ? 3  4 ? 6  ? 8 9
#4 ? 6  ? 8 9  1 2 3
#? 8 9  1 2 3  4 ? 6
#
#2 3 1  ? 6 4  8 9 ?
#? 6 4  8 ? 7  2 3 1
#8 9 ?  2 3 1  ? 6 4
#
#3 4 8  6 ? 2  9 1 ?
#6 ? 2  9 1 ?  3 4 8
#9 1 ?  3 4 8  6 ? 2

#Comments from here down.

#"8--------", # from https:#abcnews.go.com/blogs/headlines/2012/06/can-you-solve-the-hardest-ever-sudoku
#"--36-----",
#"-7--9-2--",
#"-5---7---",
#"----457--",
#"---1---3-",
#"--1----68",
#"--85---1-",
#"-9----4--",

# "---6----1",  #https:#sudoku.com/medium/
# "9-1--4---",
# "-45---39-",
# "567-189-4",
# "-3--26---",
# "2-9-47863",
# "-5---9---",
# "7--4--61-",
# "---7-32-9",

# var solution = [
#     "387491625",
#     "241568379",
#     "569327418",
#     "758619234",
#     "123784596",
#     "496253187",
#     "934176852",
#     "675832941",
#     "812945763"
# ]


# "1?3456789",
# "4?6789123",
# "7?9123456",
# "2?1564897",
# "5?489??31",#"5?4897231",
# "8?7231564",
# "?????????",#"3?8672915",
# "6?2915348",
# "9?5348672",

# "123456789",
# "456789123",
# "789123456",
# "231564897",
# "564897231",
# "897231564",
# "348672915",
# "?????????",/*"672915348",*/
# "915348672",

#     "?23456?89",
#     "456?89123",
#     "?89123456",
#     "231564897",
#     "564897231",
#     "897231564",
#     "348672915",
#     "672915348",
#     "915348672",

#     # #old: "123456789","912345678","891234567","789123456","678912345","567891234","?????????",/*"456789123",*/"345678912","234567891",
# ];

